,Televisor_analogico,Televisor_con_decodificador,Televisor_digital,Telefono_celular,Computadora_escritorio,Laptop,Internet,Estrato_socioeconomico,Tipo_de_entorno
0,No,No,Si,Si,No,No,Si,Alto,Urbano
1,No,No,Si,Si,No,Si,Si,Alto,Urbano
2,No,No,Si,Si,No,No,Si,Alto,Urbano
3,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
4,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
5,No,No,Si,Si,Si,Si,Si,Medio bajo,Urbano
6,Si,Si,No,Si,No,No,No,Medio bajo,Urbano
7,No,No,Si,Si,No,No,No,Medio bajo,Urbano
8,Si,No,Si,Si,Si,No,Si,Alto,Urbano
9,No,No,Si,Si,No,Si,Si,Alto,Urbano
10,No,No,Si,Si,No,Si,Si,Alto,Urbano
11,No,No,Si,Si,No,Si,Si,Alto,Urbano
12,No,No,Si,Si,No,Si,Si,Alto,Urbano
13,Si,No,Si,Si,No,No,Si,Medio alto,Urbano
14,No,No,Si,Si,No,No,Si,Medio alto,Urbano
15,No,No,No,Si,No,No,No,Bajo,Rural
16,No,No,No,Si,No,No,No,Bajo,Rural
17,Si,No,No,Si,No,No,Si,Bajo,Rural
18,Si,No,No,Si,No,No,No,Bajo,Rural
19,No,No,Si,Si,No,No,No,Medio alto,Urbano
20,No,No,Si,Si,No,No,Si,Medio alto,Urbano
21,Si,No,Si,Si,Si,No,No,Medio alto,Urbano
22,No,No,Si,Si,No,No,Si,Medio alto,Urbano
23,No,No,Si,Si,No,No,No,Medio alto,Urbano
24,No,No,Si,Si,Si,Si,Si,Medio alto,Urbano
25,No,No,Si,Si,No,No,No,Medio alto,Urbano
26,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
27,No,No,Si,Si,No,No,No,Bajo,Rural
28,No,No,Si,Si,No,No,No,Bajo,Rural
29,Si,No,Si,Si,No,No,Si,Bajo,Rural
30,No,No,Si,Si,No,No,Si,Bajo,Urbano
31,Si,No,Si,Si,No,No,No,Bajo,Urbano
32,Si,No,No,Si,No,No,No,Bajo,Urbano
33,No,No,Si,No,No,No,No,Bajo,Urbano
34,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
35,Si,No,No,Si,No,No,No,Medio bajo,Urbano
36,No,No,Si,No,No,No,No,Bajo,Urbano
37,Si,No,Si,Si,No,Si,No,Bajo,Urbano
38,Si,No,Si,Si,No,Si,No,Bajo,Urbano
39,Si,No,Si,Si,No,No,No,Bajo,Urbano
40,No,No,Si,Si,No,No,No,Bajo,Urbano
41,No,No,Si,Si,No,No,No,Bajo,Urbano
42,Si,No,Si,Si,No,No,No,Bajo,Urbano
43,No,No,Si,Si,Si,Si,Si,Bajo,Urbano
44,Si,No,No,Si,No,No,No,Bajo,Urbano
45,No,No,Si,Si,No,Si,Si,Medio bajo,Rural
46,No,No,No,Si,No,No,No,Medio bajo,Rural
47,Si,No,No,Si,No,No,No,Medio bajo,Rural
48,No,No,No,Si,No,No,No,Medio bajo,Rural
49,Si,No,No,No,No,No,No,Medio bajo,Rural
50,Si,No,No,Si,No,No,No,Medio bajo,Rural
51,Si,Si,No,Si,No,No,Si,Medio bajo,Rural
52,Si,No,Si,Si,No,Si,Si,Medio bajo,Rural
53,No,Si,Si,Si,No,Si,Si,Alto,Urbano
54,Si,Si,Si,Si,Si,Si,Si,Alto,Urbano
55,No,No,Si,Si,No,No,No,Bajo,Rural
56,No,No,No,Si,No,No,No,Bajo,Rural
57,No,No,Si,Si,No,No,No,Bajo,Rural
58,No,No,No,Si,No,Si,Si,Bajo,Rural
59,Si,Si,Si,Si,No,No,No,Bajo,Rural
60,No,No,Si,Si,Si,No,Si,Medio alto,Urbano
61,No,No,Si,Si,No,No,Si,Medio alto,Urbano
62,No,No,No,Si,No,No,No,Medio bajo,Urbano
63,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
64,Si,No,Si,Si,No,Si,No,Medio bajo,Urbano
65,No,No,Si,Si,No,No,No,Medio bajo,Urbano
66,No,No,Si,Si,No,Si,Si,Medio bajo,Urbano
67,No,No,Si,Si,No,No,No,Bajo,Rural
68,Si,No,No,Si,No,Si,No,Bajo,Rural
69,No,No,Si,Si,No,No,Si,Bajo,Rural
70,No,No,No,Si,No,No,No,Bajo,Rural
71,Si,No,Si,Si,No,No,No,Bajo,Rural
72,Si,No,Si,Si,No,No,No,Bajo,Rural
73,Si,No,No,Si,No,No,No,Bajo,Rural
74,No,No,Si,Si,No,No,No,Bajo,Rural
75,No,No,No,No,No,No,No,Bajo,Rural
76,No,No,Si,Si,No,No,No,Bajo,Rural
77,No,No,Si,Si,No,No,No,Bajo,Rural
78,No,No,Si,Si,No,Si,Si,Bajo,Rural
79,No,No,No,Si,No,No,No,Bajo,Rural
80,No,No,Si,Si,No,No,Si,Bajo,Rural
81,Si,Si,Si,Si,Si,No,No,Medio bajo,Urbano
82,Si,No,No,Si,No,No,No,Medio bajo,Urbano
83,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
84,No,No,No,Si,No,No,Si,Medio bajo,Urbano
85,Si,No,Si,Si,Si,No,Si,Medio bajo,Urbano
86,Si,Si,Si,Si,No,No,No,Medio bajo,Urbano
87,No,No,Si,Si,No,No,Si,Medio bajo,Urbano
88,No,No,No,Si,No,No,No,Medio bajo,Urbano
89,No,No,No,No,No,No,No,Medio bajo,Urbano
90,Si,Si,Si,Si,No,No,No,Medio bajo,Urbano
91,No,No,No,No,No,No,No,Medio alto,Urbano
